Round,FedAvg_Clean,FedAvg_Attacker,FedProx_Krum_DP_Attacker
1,N/A,N/A,11.95
2,N/A,N/A,11.95
3,N/A,N/A,20.07
4,N/A,N/A,16.49
5,N/A,N/A,21.86
6,N/A,N/A,28.43
7,N/A,N/A,28.79
8,N/A,N/A,32.86
9,N/A,N/A,29.87
10,N/A,N/A,25.09
11,N/A,N/A,35.24
12,N/A,N/A,32.74
13,N/A,N/A,41.82
14,N/A,N/A,51.14
15,N/A,N/A,46.48
16,N/A,N/A,46.12
17,N/A,N/A,56.63
18,N/A,N/A,47.67
19,N/A,N/A,63.80
20,N/A,N/A,52.81
21,N/A,N/A,66.07
22,N/A,N/A,61.77
23,N/A,N/A,64.40
24,N/A,N/A,71.57
25,N/A,N/A,70.37
26,N/A,N/A,69.41
27,N/A,N/A,72.64
28,N/A,N/A,70.49
29,N/A,N/A,69.53
30,N/A,N/A,68.10
